Column1,Start Time,Playtime,Effective Playtime,Interruptions,Join Time,Buffer Ratio,CDN Node Host,Connection Type,Device,Device Type,Browser,Browser Version,OS,OS Version,Device ID,Happiness Value,Happiness Score,Playback Stalls,Startup Error (Count),Latency,End Time,Crash Status,End of Playback Status,User_ID_N,Title_N,Program_N,Device_Vendor_N,Device_Model_N,Content_TV_Show_N,Country_N,City_N,Region_N
0,2022-07-12 00:00:14,11,10,0,0.879,0.0,,Ethernet-100,Android TV,TV,Android Browser,Android Browser,Android,Android 10,186ba46d-4400-39df-8693-1ca9d25caf48,Smile (7-8.5),7.393,0.0,0,19504,2022-10-04 00:00:26,,On Stop,564,784,0,16,64,2672,3,263,0
1,2022-07-12 00:00:38,73,72,0,1.17,0.0,,WiFi-5,Android TV,TV,Android Browser,Android Browser,Android,Android 10,35f76782-6990-3fa2-bdb8-0f35a2c5569c,Happy (8.5-10),9.399,0.0,0,19033,2022-10-04 00:01:52,,On Stop,480,1,0,13,63,2672,3,76,0
2,2022-07-12 00:02:02,21,20,0,1.133,0.0,,WiFi-5,Android TV,TV,Android Browser,Android Browser,Android,Android 10,16846b9d-4bd6-3b16-a464-cb99378f3249,Neutral (5-7),6.999,0.0,0,19071,2022-10-04 00:02:24,,On Stop,346,786,0,13,63,2672,3,76,0
3,2022-07-12 00:02:24,1,0,0,0.0,0.0,,WiFi-5,Android TV,TV,Android Browser,Android Browser,Android,Android 10,16846b9d-4bd6-3b16-a464-cb99378f3249,Angry (0-3),0.0,0.0,0,0,2022-10-04 00:02:26,,On Stop,346,997,0,13,63,2672,3,76,0
4,2022-07-12 00:02:25,1,0,0,0.0,0.0,,WiFi-5,Android TV,TV,Android Browser,Android Browser,Android,Android 10,16846b9d-4bd6-3b16-a464-cb99378f3249,Angry (0-3),0.0,0.0,0,0,2022-10-04 00:02:28,,On Stop,346,997,0,13,63,2672,3,76,0
5,2022-07-12 00:02:27,1,0,0,0.0,0.0,,WiFi-5,Android TV,TV,Android Browser,Android Browser,Android,Android 10,16846b9d-4bd6-3b16-a464-cb99378f3249,Angry (0-3),0.0,0.0,0,0,2022-10-04 00:02:29,,On Stop,346,997,0,13,63,2672,3,76,0
6,2022-07-12 00:00:25,124,123,0,0.56,0.0,,Ethernet-100,Android TV,TV,Android Browser,Android Browser,Android,Android 10,186ba46d-4400-39df-8693-1ca9d25caf48,Happy (8.5-10),9.842,0.0,0,17993,2022-10-04 00:02:30,,On Stop,564,997,0,16,64,2672,3,263,0
7,2022-07-12 00:02:29,1,0,0,0.0,0.0,,WiFi-5,Android TV,TV,Android Browser,Android Browser,Android,Android 10,16846b9d-4bd6-3b16-a464-cb99378f3249,Angry (0-3),0.0,0.0,1,0,2022-10-04 00:02:31,Startup Error Crash,On Error,346,997,0,13,63,2672,3,76,0
8,2022-07-12 00:02:30,10,9,0,0.474,0.0,,Ethernet-100,Android TV,TV,Android Browser,Android Browser,Android,Android 10,186ba46d-4400-39df-8693-1ca9d25caf48,Smile (7-8.5),8.378,0.0,0,19186,2022-10-04 00:02:40,,On Stop,564,1412,0,16,64,2672,3,263,0
9,2022-07-12 00:02:40,6,5,0,0.485,0.0,,Ethernet-100,Android TV,TV,Android Browser,Android Browser,Android,Android 10,186ba46d-4400-39df-8693-1ca9d25caf48,Angry (0-3),0.0,0.0,0,19547,2022-10-04 00:02:47,,On Stop,564,1001,0,16,64,2672,3,263,0
10,2022-07-12 00:02:46,1,1,0,0.8759999999999999,0.0,,Ethernet-100,Android TV,TV,Android Browser,Android Browser,Android,Android 10,186ba46d-4400-39df-8693-1ca9d25caf48,Angry (0-3),0.0,0.0,0,0,2022-10-04 00:02:49,,On Stop,564,795,0,16,64,2672,3,263,0
11,2022-07-12 00:02:48,1,1,0,0.5589999999999999,0.0,,Ethernet-100,Android TV,TV,Android Browser,Android Browser,Android,Android 10,186ba46d-4400-39df-8693-1ca9d25caf48,Angry (0-3),0.0,0.0,0,0,2022-10-04 00:02:50,,On Stop,564,934,0,16,64,2672,3,263,0
12,2022-07-12 00:02:50,1,1,0,0.426,0.0,,Ethernet-100,Android TV,TV,Android Browser,Android Browser,Android,Android 10,186ba46d-4400-39df-8693-1ca9d25caf48,Angry (0-3),0.0,0.0,0,0,2022-10-04 00:02:52,,On Stop,564,1263,0,16,64,2672,3,263,0
